agent,t,queue_clean,queue_attacked
maxpressure,331,29.17393755416854,35.98259742583673
maxpressure,332,25.55925842524366,38.98827762397397
maxpressure,333,27.56584732737828,40.40071919205482
maxpressure,334,29.250274751172267,38.6472996318587
maxpressure,335,26.518964010190476,42.76947973079152
maxpressure,336,28.410931126427652,38.875981326187485
maxpressure,337,26.144344666927278,41.43445976692129
maxpressure,338,30.423497470087664,39.130476432040496
maxpressure,339,28.708508084003114,45.809671117344614
maxpressure,340,28.869282162109556,41.1794986860942
maxpressure,341,30.09677392034792,43.11606653981511
maxpressure,342,27.633960605778135,41.71723399123769
maxpressure,343,28.372155688941938,44.75051247824263
maxpressure,344,28.95017991443612,42.65292663466835
maxpressure,345,27.98445231793364,44.129469537013804
maxpressure,346,27.129176126594714,43.054134560609675
maxpressure,347,26.30534452716543,45.18473375729252
maxpressure,348,28.093120358259128,47.8269673534043
maxpressure,349,27.7449011592739,45.79750898958001
maxpressure,350,26.593750098540518,48.708241553557414
maxpressure,351,22.476127974154235,45.93779298474565
maxpressure,352,25.84730227981927,47.23311825318871
maxpressure,353,24.5900559468489,49.411745094555314
maxpressure,354,24.671457616607118,48.94976764737946
maxpressure,355,28.126687519221566,46.898447571032875
maxpressure,356,24.799521965231232,50.21309186987607
maxpressure,357,26.760543940779094,50.79048559663666
maxpressure,358,27.96418925851098,49.50045447346806
maxpressure,359,29.097055894607603,53.5930464214471
maxpressure,360,25.90850235678961,51.087616587533404
maxpressure,361,26.349138948254684,49.774608021647225
maxpressure,362,26.51538830144503,50.716788462692996
maxpressure,363,26.31245754769126,51.72192889845266
maxpressure,364,25.491010100304496,53.94810175868001
maxpressure,365,26.71976149438266,52.85676181913145
maxpressure,366,25.306926388972396,54.87887410272256
maxpressure,367,24.531823480602334,55.44162880369606
maxpressure,368,29.012508544899497,53.22150503451229
maxpressure,369,27.46485253390244,56.82335240162838
maxpressure,370,25.269443547578916,53.50135093425392
maxpressure,371,26.09724209667402,55.577965183703014
maxpressure,372,25.130681880921664,55.36372995631514
maxpressure,373,26.318275824422262,56.50188074268548
maxpressure,374,24.89805065404017,60.19148731983233
maxpressure,375,22.4497523286191,57.34654934699962
maxpressure,376,24.290450923582608,59.08381622805724
maxpressure,377,23.70625530164997,57.53603602971923
maxpressure,378,24.342492325183972,57.73712715755246
maxpressure,379,26.527996074144717,59.12111724512704
maxpressure,380,26.86531955274784,60.846061169421645
maxpressure,381,25.679494728755888,58.56210411707384
maxpressure,382,25.581790455878366,59.56307988995647
maxpressure,383,26.450514497248633,61.31313867774531
maxpressure,384,23.24844738960698,61.85039750945367
maxpressure,385,23.196414410946584,62.04961330019687
maxpressure,386,24.110710666582996,62.57791216254474
maxpressure,387,25.590959068914515,64.06711971901824
maxpressure,388,23.5845207860407,61.434373471162885
maxpressure,389,23.886357047198178,64.34714770368606
maxpressure,390,22.377334651426594,61.5762514707745
maxpressure,391,20.495895711893834,63.83963377977955
maxpressure,392,23.01147009136678,64.09371083046358
maxpressure,393,21.770931524530862,63.49798565383665
maxpressure,394,23.64567320410995,66.13395579296895
maxpressure,395,22.836559971316145,66.59058398169607
maxpressure,396,24.525306402082627,66.9196070831253
maxpressure,397,22.669355843889033,66.07667355509659
maxpressure,398,22.213207390690464,69.87214337109216
maxpressure,399,23.846022440701176,69.71492530878358
maxpressure,400,25.31158682861192,67.5113011266006
maxpressure,401,19.456765511548227,69.52716008083475
maxpressure,402,19.489659333412117,72.60435575480973
maxpressure,403,24.74396574732574,68.78985723388337
maxpressure,404,20.38804299040104,67.03175605862654
maxpressure,405,21.43597965117487,67.8365908083619
maxpressure,406,24.317130658139124,70.92543728600417
maxpressure,407,19.317018812502432,70.26454343175584
maxpressure,408,21.869245415082062,74.0600272506928
maxpressure,409,22.85071919434218,74.42898065751133
maxpressure,410,19.95291505760802,73.11335611325079
maxpressure,411,23.138845316444034,71.0096121762373
maxpressure,412,23.746289429108263,72.89665772548179
maxpressure,413,22.82575723218347,72.20215323973088
maxpressure,414,26.409423476660827,73.20429578465166
maxpressure,415,24.38509933351721,74.94745914014071
maxpressure,416,23.28012007697492,74.84504492200855
maxpressure,417,23.523683064184038,76.97343831590479
maxpressure,418,20.93046681314258,76.62386661924651
maxpressure,419,21.9799745623119,73.58620184204683
maxpressure,420,20.826482358650143,78.39676988588573
maxpressure,421,21.093965830595234,80.00997004239306
maxpressure,422,21.62509338837334,78.55000252184301
maxpressure,423,23.397271778959208,80.50054905457282
maxpressure,424,22.466076034461537,77.5707970423166
maxpressure,425,20.43098261690214,79.49688503924399
maxpressure,426,21.657158878900795,79.75850556977474
maxpressure,427,21.707717148480693,81.57881718630223
maxpressure,428,21.69158372284631,78.10061425380704
maxpressure,429,24.070056065430798,82.32840690553716
maxpressure,430,19.8371046888572,81.22904082057212
maxpressure,431,22.637600971425975,79.33504124437681
maxpressure,432,23.116906629371016,84.17157394627122
maxpressure,433,22.106659841583845,83.94800019979678
maxpressure,434,22.529218513349203,82.57861532258327
maxpressure,435,25.686898084822303,85.9970389626512
maxpressure,436,21.686786059853542,85.90756418091974
maxpressure,437,19.96474322091651,86.92510667584898
maxpressure,438,23.664791146084227,87.91481962965635
maxpressure,439,19.828523978111996,86.9520627193003
maxpressure,440,23.101523664928855,86.85916309150794
maxpressure,441,23.742681844693838,88.57780650789317
maxpressure,442,23.19951960124346,87.65082915671906
maxpressure,443,22.901600867219333,88.61032363326676
maxpressure,444,20.770001902727866,89.12679018215002
maxpressure,445,23.35311486620523,89.80076639861218
maxpressure,446,20.614253619248522,92.28044590700638
maxpressure,447,21.83447897661931,92.15899543437138
maxpressure,448,22.250825852820732,88.57299734055876
maxpressure,449,23.907475836845993,90.67882741182117
maxpressure,450,19.90156966731661,89.35817082208126
maxpressure,451,22.204621916349634,92.08777654723119
maxpressure,452,21.242152685956523,91.82417150245541
maxpressure,453,24.237612680280613,98.87705914480385
maxpressure,454,17.440194075032593,94.48524874329115
maxpressure,455,21.271858104300694,94.33866055879726
maxpressure,456,20.513582732112805,92.59200764552472
maxpressure,457,21.071186558496624,96.7034335447712
maxpressure,458,22.965206030122264,97.932461562251
maxpressure,459,22.86281752437899,100.0798192111487
maxpressure,460,23.75620325723563,95.54301356341637
maxpressure,461,22.534118695366573,98.68439895354126
maxpressure,462,21.675558648262744,100.26000361374636
maxpressure,463,23.062190760672436,98.70567269071071
maxpressure,464,24.3086341086005,98.68389714303184
maxpressure,465,21.386037525294608,99.49374824084289
maxpressure,466,23.908726410572278,102.49083239509824
maxpressure,467,21.14717212470687,102.01432279898383
maxpressure,468,24.173366995698814,104.46157177779514
maxpressure,469,22.494475126923227,100.80707583823914
maxpressure,470,22.163731521781934,102.93681795945663
maxpressure,471,21.424336761904026,101.45490959107812
maxpressure,472,21.281987727589566,104.54828696487327
maxpressure,473,20.958365332040803,106.50282946902168
maxpressure,474,22.017185941330307,104.97041260800245
maxpressure,475,22.573347268405794,105.91213225259644
maxpressure,476,22.812036521971553,107.05973651846814
maxpressure,477,22.36408556820001,104.85681224135135
maxpressure,478,20.101187063244073,107.08020572337043
maxpressure,479,22.49765719897786,106.0740533624523
maxpressure,480,23.66796986750867,106.43747492429225
maxpressure,481,25.543662130106817,108.84621646094138
maxpressure,482,21.55420254691097,111.32623008005335
maxpressure,483,24.9195382411389,111.74032580065004
maxpressure,484,22.76717611004813,110.59322479254178
maxpressure,485,25.217273803757703,112.18737773470588
maxpressure,486,23.479126150865707,111.4496047082185
maxpressure,487,22.906180927856635,112.57353371785203
maxpressure,488,21.72603111198202,111.24136026886163
maxpressure,489,22.790236075818953,113.797083411246
maxpressure,490,25.285779860687793,116.28311083389329
maxpressure,491,24.039144404471916,114.81873624348395
maxpressure,492,23.414950394748537,114.83015059850979
maxpressure,493,26.697565169274203,117.56249581669424
maxpressure,494,23.05020409509612,115.9383692571167
maxpressure,495,22.868193527485012,115.76834784206517
maxpressure,496,24.82171632347456,121.59038075415837
maxpressure,497,26.61356099136461,117.36416437742366
maxpressure,498,25.69409575664411,117.61912133554166
maxpressure,499,24.523775643437414,119.85020520596072
maxpressure,500,22.151990064461163,122.00106393534205
maxpressure,501,22.862265100736455,119.47783121950305
maxpressure,502,22.55766296248025,116.92908751883112
maxpressure,503,23.26328391399809,119.67594583249645
maxpressure,504,22.404801275424454,119.39819162745204
maxpressure,505,26.307824852742268,122.70339661481567
maxpressure,506,25.435796913183374,122.9954999017501
maxpressure,507,24.368032110958097,124.4170576307576
maxpressure,508,24.023441755852186,124.4895399758813
maxpressure,509,24.92019613885555,124.51554045098571
maxpressure,510,26.06578086690163,126.45411007454848
maxpressure,511,26.670787985520313,125.98527280490059
maxpressure,512,28.556041488754577,121.83823582622774
maxpressure,513,22.29952183767121,123.93673849362008
maxpressure,514,27.513049239520775,127.60117760763963
maxpressure,515,26.295865740868138,126.45571938108802
maxpressure,516,25.24700403428494,128.57407380524603
maxpressure,517,25.878740146406162,130.4075910330504
maxpressure,518,26.88203936960262,131.92210309204933
maxpressure,519,25.64319793551842,132.10978227057214
maxpressure,520,27.076301922784417,128.3613545901191
maxpressure,521,27.50498865302974,130.44546882086428
maxpressure,522,27.586131638057267,132.81002587384006
maxpressure,523,28.9865101946244,134.03583237582146
maxpressure,524,29.151600262490003,131.36964990279893
maxpressure,525,24.828421036643512,130.56177141760628
maxpressure,526,28.258461961803828,134.57768498867193
maxpressure,527,27.31594903692705,135.45059113307508
maxpressure,528,27.330648902131102,138.0697469212043
maxpressure,529,27.11091982554035,137.18587006451625
maxpressure,530,25.714143016867624,135.79849154219107
maxpressure,531,25.334857715036794,138.66763404240052
maxpressure,532,26.901429916072136,138.37346086960224
maxpressure,533,25.419139982297512,139.20706996029918
maxpressure,534,28.74751822976442,138.75842038590517
maxpressure,535,28.34008660092331,142.23339521958522
maxpressure,536,28.6307696986755,139.4884731080581
maxpressure,537,27.997982422404416,142.39670999793088
maxpressure,538,26.519236185810204,140.26437575120858
maxpressure,539,27.87537828103255,142.6828737505539
maxpressure,540,29.137272733714816,142.13428713432447
maxpressure,541,29.273881075971772,145.49540107574114
maxpressure,542,26.47514246058047,141.35981440868463
maxpressure,543,27.676689266466447,142.4849018671544
maxpressure,544,28.032601133782585,143.96423636562616
maxpressure,545,25.941503353451033,145.3291022971507
maxpressure,546,26.9462769168655,144.7909589133153
maxpressure,547,27.684894621879,146.01365835778208
maxpressure,548,26.414277198319784,144.73263115505262
maxpressure,549,27.498563053735488,147.80776609807478
maxpressure,550,28.638217571970575,145.80418057365955
maxpressure,551,26.70200235188962,148.7229680911999
maxpressure,552,28.257063899169257,149.33557756004333
maxpressure,553,28.88778236183907,150.64474069133703
maxpressure,554,26.469783681962884,147.82577099155662
maxpressure,555,28.98466653194204,148.93844344151518
maxpressure,556,28.897267710420724,152.46221220381307
maxpressure,557,27.412017803874626,148.65156983426388
maxpressure,558,29.09366041511767,152.3215845723746
maxpressure,559,27.34694842963698,153.14877763760893
maxpressure,560,30.075730484200008,155.37256643624943
maxpressure,561,29.92528600718677,155.44271411911873
maxpressure,562,27.949074482371486,153.71406064357978
maxpressure,563,29.9007537357969,150.95806236239937
maxpressure,564,26.590134202733108,157.3553191812647
maxpressure,565,24.530563748669074,155.77712434756722
maxpressure,566,27.414392081377905,155.87076922400948
maxpressure,567,26.10720957703803,153.64701545087462
maxpressure,568,28.61199983082626,156.3206849926292
maxpressure,569,26.08870969513309,158.51791208574443
maxpressure,570,28.71542574512212,155.83318875950962
maxpressure,571,28.402840340484243,156.45072496070736
maxpressure,572,27.701618774316835,157.61743814573984
maxpressure,573,26.85442113223686,161.10109313637616
maxpressure,574,26.14952829039102,160.8972510169841
maxpressure,575,28.274771008899894,160.05705436827103
maxpressure,576,28.550129405269182,160.98432718483838
maxpressure,577,27.667823248781406,163.14176767467345
maxpressure,578,25.85230860561532,160.54681902856225
maxpressure,579,24.834416136337275,161.79682813112876
maxpressure,580,27.11953576938075,164.15818914855157
maxpressure,581,28.75676623725997,166.8642793991519
maxpressure,582,28.60493208690134,163.78920450108674
maxpressure,583,30.85209576200428,164.97352826842456
maxpressure,584,29.20258895356115,166.91491594082854
maxpressure,585,28.95031384267999,164.049960024374
maxpressure,586,26.908471963731223,167.1195972942393
maxpressure,587,28.479991115140294,164.0576951612353
maxpressure,588,30.50450386840971,167.65077393820064
maxpressure,589,23.751396672051523,167.69380712159492
maxpressure,590,26.709055961649543,166.53867777143273
maxpressure,591,28.219289428641584,167.38406055853048
maxpressure,592,31.0234725396983,168.54273529940613
maxpressure,593,27.210264294214415,166.86414540406767
maxpressure,594,22.32546494191424,170.88189833135283
maxpressure,595,28.193988300294873,168.91237793998226
maxpressure,596,26.872392970036508,171.81937487331487
maxpressure,597,26.434814933579396,172.7324099360092
maxpressure,598,29.572546277074867,170.8110523862952
maxpressure,599,26.877468074930373,171.54280449229483
maxpressure,600,28.162143377126764,170.3054463913278
maxpressure,601,25.941830930286716,170.45472228449665
maxpressure,602,26.839949374136264,170.37603833478823
maxpressure,603,26.425328887700026,173.69002545325918
maxpressure,604,26.63017851671887,170.76157224482046
maxpressure,605,24.976957309176612,174.6227021878695
maxpressure,606,28.688663608845772,175.87528632777932
maxpressure,607,24.604580881982553,175.52072037570866
maxpressure,608,29.830734507950595,176.66525222675003
maxpressure,609,28.21785591418712,177.3296763195368
maxpressure,610,25.689950221264155,177.16729615060416
maxpressure,611,25.934104289145733,175.09768116182732
maxpressure,612,27.491805717842894,177.25697574161038
maxpressure,613,27.566783254464227,180.00590752284572
maxpressure,614,26.670939634589747,180.5767081631933
maxpressure,615,27.173726933066895,177.47935548756374
maxpressure,616,26.112644486495007,178.9160105535023
maxpressure,617,23.026061875315417,176.8660072632067
maxpressure,618,27.32339135242634,176.96948611692184
maxpressure,619,25.958508972261036,179.86107427685053
maxpressure,620,25.633906532941637,181.54292792004725
maxpressure,621,25.68139192139514,179.5204561791233
maxpressure,622,24.315036428031245,182.5695753344828
maxpressure,623,28.434041619525715,180.47985944992925
maxpressure,624,24.554966590942872,181.98218278955136
maxpressure,625,27.94566743939797,182.08037169321943
maxpressure,626,26.318205924082534,182.54010427882804
maxpressure,627,24.39445036370203,183.55517740598026
maxpressure,628,24.570933434465978,183.42975688708083
maxpressure,629,22.944951162898594,181.31744068081062
maxpressure,630,23.558740566868124,183.93502764250044
maxpressure,631,25.780327823835577,185.25457926103505
maxpressure,632,23.97327273187527,187.61547352849178
maxpressure,633,23.412996190802538,185.85458994167575
maxpressure,634,25.371909298800816,185.40827599793136
maxpressure,635,27.28234049090632,189.16991932178837
maxpressure,636,28.097239486014875,187.03775133425864
maxpressure,637,24.26865198449874,186.23999198120674
maxpressure,638,26.271410803288262,189.7376142728005
maxpressure,639,24.62160801232361,186.6837226613004
maxpressure,640,25.57210703530946,188.93515028389675
maxpressure,641,25.101193884142617,189.7932819045174
maxpressure,642,23.33063100705171,189.24809726952347
maxpressure,643,24.459444470204154,189.55530301897556
maxpressure,644,23.24794953396724,189.18780770356156
maxpressure,645,22.448154496762974,189.76568090465528
maxpressure,646,25.501025523715263,190.19818878673306
maxpressure,647,21.576252345317144,193.5700013086256
maxpressure,648,23.755232815731116,192.91233738703545
maxpressure,649,21.639204544222846,194.1736843749209
maxpressure,650,24.039586522819913,194.3489555318505
maxpressure,651,21.61814374618107,196.84745608922975
maxpressure,652,24.31088986473785,195.49416458595698
